nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01  0.000000000E+00  2.892099935E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.547239953E-01  2.876808811E-01 -1.816538257E-01  3.284827262E-05  0.000000000E+00 -1.816538257E-01  2.876808811E-01  2.547239953E-01 
         3  2.548512220E-01  2.878829241E-01 -1.816360205E-01  0.000000000E+00 -2.771293539E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         4  2.546454668E-01  2.875562012E-01 -1.816323549E-01  0.000000000E+00  1.352130095E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         5  2.547299609E-01  2.876903552E-01 -1.816190455E-01  5.853925689E-05 -8.026087520E-07 -1.816190455E-01  2.876903552E-01  2.547299609E-01 
         6  2.546497476E-01  2.875629991E-01 -1.816143952E-01  1.161926693E-05  0.000000000E+00 -1.816143952E-01  2.875629991E-01  2.546497476E-01 
         7  2.548585783E-01  2.878946088E-01 -1.815974118E-01  2.422348606E-04 -4.279532213E-05 -1.815974118E-01  2.878946088E-01  2.548585783E-01 
         8  2.546537381E-01  2.875693353E-01 -1.815932422E-01  2.107189134E-05  0.000000000E+00 -1.815932422E-01  2.875693353E-01  2.546537381E-01 
         9  2.545785308E-01  2.874499261E-01 -1.815854460E-01  0.000000000E+00  1.418519543E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
        10  2.545802209E-01  2.874526072E-01 -1.815786862E-01  7.621372650E-07  0.000000000E+00 -1.815786862E-01  2.874526072E-01  2.545802209E-01 
        11  2.547341934E-01  2.876970787E-01 -1.815760745E-01  2.781707848E-04 -1.034195830E-04 -1.815760745E-01  2.876970787E-01  2.547341934E-01 
        12  2.545819110E-01  2.874552882E-01 -1.815719263E-01  1.347971915E-06  0.000000000E+00 -1.815719263E-01  2.874552882E-01  2.545819110E-01 
        13  2.546566119E-01  2.875738969E-01 -1.815667280E-01  2.091285200E-05 -8.449355450E-09 -1.815667280E-01  2.875738969E-01  2.546566119E-01 
        14  2.545836012E-01  2.874579693E-01 -1.815651665E-01  4.397857911E-06 -1.335278847E-08 -1.815651665E-01  2.874579693E-01  2.545836012E-01 
        15  2.545055747E-01  2.873340249E-01 -1.815646887E-01  0.000000000E+00 -3.298617781E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
        16  2.545076724E-01  2.873373583E-01 -1.815583461E-01  3.474228041E-07  0.000000000E+00 -1.815583461E-01  2.873373583E-01  2.545076724E-01 
        17  2.545097700E-01  2.873406916E-01 -1.815520035E-01  6.653457673E-07  0.000000000E+00 -1.815520035E-01  2.873406916E-01  2.545097700E-01 
        18  2.548652677E-01  2.879052349E-01 -1.815509511E-01  6.319790864E-04 -4.336253216E-04 -1.815509511E-01  2.879052349E-01  2.548652677E-01 
